----------------------  ------------------------------
infant's                ('Lamentations', '4', '4')
nurtured                ('Lamentations', '4', '5')
blacker                 ('Lamentations', '4', '8')
soot;                   ('Lamentations', '4', '8')
unclean!"               ('Lamentations', '4', '15')
"away!                  ('Lamentations', '4', '15')
failed,                 ('Lamentations', '4', '17')
step,                   ('Lamentations', '4', '18')
numbered,               ('Lamentations', '4', '18')
traps.                  ('Lamentations', '4', '20')
uz.                     ('Lamentations', '4', '21')
heels;                  ('Lamentations', '5', '5')
submitted               ('Lamentations', '5', '6')
feverish                ('Lamentations', '5', '10')
hunger.                 ('Lamentations', '5', '10')
ravished                ('Lamentations', '5', '11')
millstones;             ('Lamentations', '5', '13')
sinned!                 ('Lamentations', '5', '16')
prowling                ('Lamentations', '5', '18')
thirtieth               ('Ezekiel', '1', '1')
month-it                ('Ezekiel', '1', '2')
jehoiachin-             ('Ezekiel', '1', '2')
buzi,                   ('Ezekiel', '1', '3')
north-an                ('Ezekiel', '1', '4')
immense                 ('Ezekiel', '1', '4')
straight;               ('Ezekiel', '1', '7')
upward;                 ('Ezekiel', '1', '11')
torches.                ('Ezekiel', '1', '13')
bright,                 ('Ezekiel', '1', '13')
sped                    ('Ezekiel', '1', '14')
wheels:                 ('Ezekiel', '1', '16')
rose.                   ('Ezekiel', '1', '19')
expanse,                ('Ezekiel', '1', '22')
stubborn.               ('Ezekiel', '2', '4')
listen-for              ('Ezekiel', '2', '5')
house-they              ('Ezekiel', '2', '5')
unrolled                ('Ezekiel', '2', '10')
woe.                    ('Ezekiel', '2', '10')
obstinate.              ('Ezekiel', '3', '7')
hardest                 ('Ezekiel', '3', '9')
flint.                  ('Ezekiel', '3', '9')
says,'                  ('Ezekiel', '3', '11')
listen."                ('Ezekiel', '3', '11')
sound-may               ('Ezekiel', '3', '12')
place!-                 ('Ezekiel', '3', '12')
brushing                ('Ezekiel', '3', '13')
days-overwhelmed.       ('Ezekiel', '3', '15')
refuse;                 ('Ezekiel', '3', '27')
40                      ('Ezekiel', '4', '6')
bared                   ('Ezekiel', '4', '7')
millet                  ('Ezekiel', '4', '9')
spelt;                  ('Ezekiel', '4', '9')
cake;                   ('Ezekiel', '4', '12')
excrement               ('Ezekiel', '4', '12')
fuel."                  ('Ezekiel', '4', '12')
excrement."             ('Ezekiel', '4', '15')
scarce.                 ('Ezekiel', '4', '17')
barber's                ('Ezekiel', '5', '1')
tuck                    ('Ezekiel', '5', '3')
subside,                ('Ezekiel', '5', '13')
avenged.                ('Ezekiel', '5', '13')
zeal.                   ('Ezekiel', '5', '13')
taunt,                  ('Ezekiel', '5', '15')
stinging                ('Ezekiel', '5', '15')
smashed;                ('Ezekiel', '6', '4')
devastated,             ('Ezekiel', '6', '6')
me-how                  ('Ezekiel', '6', '9')
stamp                   ('Ezekiel', '6', '11')
"alas!"                 ('Ezekiel', '6', '11')
survives                ('Ezekiel', '6', '12')
oak-places              ('Ezekiel', '6', '13')
diblah                  ('Ezekiel', '6', '14')
-wherever               ('Ezekiel', '6', '14')
disaster!               ('Ezekiel', '7', '5')
panic,                  ('Ezekiel', '7', '7')
blossomed!              ('Ezekiel', '7', '10')
crowd-no                ('Ezekiel', '7', '11')
reversed.               ('Ezekiel', '7', '13')
"outside                ('Ezekiel', '7', '15')
moaning                 ('Ezekiel', '7', '16')
desecrated.             ('Ezekiel', '7', '24')
rumor.                  ('Ezekiel', '7', '26')
provokes                ('Ezekiel', '8', '3')
doing-the               ('Ezekiel', '8', '6')
rising.                 ('Ezekiel', '8', '11')
tammuz.                 ('Ezekiel', '8', '14')
nose!                   ('Ezekiel', '8', '17')
listened,               ('Ezekiel', '9', '5')
"defile                 ('Ezekiel', '9', '7')
outpouring              ('Ezekiel', '9', '8')
jerusalem?"             ('Ezekiel', '9', '8')
see.'                   ('Ezekiel', '9', '9')
cherubim,"              ('Ezekiel', '10', '6')
(under                  ('Ezekiel', '10', '8')
man.)                   ('Ezekiel', '10', '8')
cherubim;               ('Ezekiel', '10', '9')
faced,                  ('Ezekiel', '10', '11')
whirling                ('Ezekiel', '10', '13')
wheels."                ('Ezekiel', '10', '13')
azzur                   ('Ezekiel', '11', '1')
houses?                 ('Ezekiel', '11', '3')
meat.'                  ('Ezekiel', '11', '3')
brothers-your           ('Ezekiel', '11', '15')
gone.'                  ('Ezekiel', '11', '16')
you.'"as                ('Ezekiel', '12', '11')
him-his                 ('Ezekiel', '12', '14')
troops-and              ('Ezekiel', '12', '14')
nothing'?               ('Ezekiel', '12', '22')
proverb,                ('Ezekiel', '12', '23')
future.'                ('Ezekiel', '12', '27')
imagination:            ('Ezekiel', '13', '2')
spoken?                 ('Ezekiel', '13', '7')
"peace,"                ('Ezekiel', '13', '10')
flimsy                  ('Ezekiel', '13', '10')
whitewash,              ('Ezekiel', '13', '10')
torrents,               ('Ezekiel', '13', '11')
hurtling                ('Ezekiel', '13', '11')
collapses,              ('Ezekiel', '13', '12')
whitewash.              ('Ezekiel', '13', '15')
lord."'                 ('Ezekiel', '13', '16')
imagination.            ('Ezekiel', '13', '17')
sew                     ('Ezekiel', '13', '18')
wrists                  ('Ezekiel', '13', '18')
all?                    ('Ezekiel', '14', '3')
recapture               ('Ezekiel', '14', '5')
idols.'                 ('Ezekiel', '14', '5')
practices!              ('Ezekiel', '14', '6')
byword.                 ('Ezekiel', '14', '8')
guilt-the               ('Ezekiel', '14', '10')
men-noah,               ('Ezekiel', '14', '14')
job-were                ('Ezekiel', '14', '14')
judgments-sword         ('Ezekiel', '14', '21')
plague-to               ('Ezekiel', '14', '21')
survivors-sons          ('Ezekiel', '14', '22')
jerusalem-every         ('Ezekiel', '14', '22')
useful?                 ('Ezekiel', '15', '3')
chars                   ('Ezekiel', '15', '4')
charred?                ('Ezekiel', '15', '5')
canaanites;             ('Ezekiel', '16', '3')
cut,                    ('Ezekiel', '16', '4')
cloths.                 ('Ezekiel', '16', '4')
"live!"                 ('Ezekiel', '16', '6')
"'later                 ('Ezekiel', '16', '8')
ointments               ('Ezekiel', '16', '9')
jewelry:                ('Ezekiel', '16', '11')
necklace                ('Ezekiel', '16', '11')
gaudy                   ('Ezekiel', '16', '16')
prostitution.           ('Ezekiel', '16', '16')
occur.                  ('Ezekiel', '16', '16')
eat-you                 ('Ezekiel', '16', '19')
enough?                 ('Ezekiel', '16', '20')
promiscuity.            ('Ezekiel', '16', '26')
shocked                 ('Ezekiel', '16', '27')
conduct.                ('Ezekiel', '16', '27')
insatiable;             ('Ezekiel', '16', '28')
prostitute!             ('Ezekiel', '16', '30')
husband!                ('Ezekiel', '16', '32')
fee,                    ('Ezekiel', '16', '33')
bribing                 ('Ezekiel', '16', '33')
illicit                 ('Ezekiel', '16', '33')
opposite,               ('Ezekiel', '16', '34')
hack                    ('Ezekiel', '16', '40')
subside                 ('Ezekiel', '16', '42')
quotes                  ('Ezekiel', '16', '44')
amorite.                ('Ezekiel', '16', '45')
sodom:                  ('Ezekiel', '16', '49')
overfed                 ('Ezekiel', '16', '49')
unconcerned;            ('Ezekiel', '16', '49')
sisters.                ('Ezekiel', '16', '52')
"'however,              ('Ezekiel', '16', '53')
philistines-all         ('Ezekiel', '16', '57')
younger.                ('Ezekiel', '16', '61')
humiliation,            ('Ezekiel', '16', '63')
allegory                ('Ezekiel', '17', '2')
plumage                 ('Ezekiel', '17', '3')
varied                  ('Ezekiel', '17', '3')
colors                  ('Ezekiel', '17', '3')
willow                  ('Ezekiel', '17', '5')
boughs.                 ('Ezekiel', '17', '6')
plumage.                ('Ezekiel', '17', '7')
vine.'                  ('Ezekiel', '17', '8')
withers?                ('Ezekiel', '17', '9')
transplanted,           ('Ezekiel', '17', '10')
it-wither               ('Ezekiel', '17', '10')
grew?'"                 ('Ezekiel', '17', '10')
succeed?                ('Ezekiel', '17', '15')
sprig                   ('Ezekiel', '17', '22')
quoting                 ('Ezekiel', '18', '2')
edge'?                  ('Ezekiel', '18', '2')
son-both                ('Ezekiel', '18', '4')
fairly                  ('Ezekiel', '18', '8')
robbery.                ('Ezekiel', '18', '12')
commits,                ('Ezekiel', '18', '14')
father?'                ('Ezekiel', '18', '19')
remembered.             ('Ezekiel', '18', '24')
unjust,                 ('Ezekiel', '18', '29')
offenses;               ('Ezekiel', '18', '30')
unfulfilled,            ('Ezekiel', '19', '5')
prowled                 ('Ezekiel', '19', '6')
roaring.                ('Ezekiel', '19', '7')
cage                    ('Ezekiel', '19', '9')
conspicuous             ('Ezekiel', '19', '11')
shrivel,                ('Ezekiel', '19', '12')
scepter.'               ('Ezekiel', '19', '14')
lament."                ('Ezekiel', '19', '14')
them-a                  ('Ezekiel', '20', '15')
lands-                  ('Ezekiel', '20', '15')
to?'"                   ('Ezekiel', '20', '29')
bamah                   ('Ezekiel', '20', '29')
images?                 ('Ezekiel', '20', '30')
fire-you                ('Ezekiel', '20', '31')
scattered-with          ('Ezekiel', '20', '34')
southland.              ('Ezekiel', '20', '46')
forest:                 ('Ezekiel', '20', '47')
quenched.'"             ('Ezekiel', '20', '48')
'isn't                  ('Ezekiel', '20', '49')
parables?'"             ('Ezekiel', '20', '49')
scabbard                ('Ezekiel', '21', '3')
unsheathed              ('Ezekiel', '21', '4')
groaning?'              ('Ezekiel', '21', '7')
limp;                   ('Ezekiel', '21', '7')
water.'                 ('Ezekiel', '21', '7')
polished-               ('Ezekiel', '21', '9')
"'shall                 ('Ezekiel', '21', '10')
slayer.                 ('Ezekiel', '21', '11')
"'testing               ('Ezekiel', '21', '13')
despises,               ('Ezekiel', '21', '13')
continue?               ('Ezekiel', '21', '13')
slaughter-              ('Ezekiel', '21', '14')
oh!                     ('Ezekiel', '21', '15')
slash                   ('Ezekiel', '21', '16')
blade                   ('Ezekiel', '21', '16')
turned.                 ('Ezekiel', '21', '16')
subside.                ('Ezekiel', '21', '17')
signpost                ('Ezekiel', '21', '19')
junction                ('Ezekiel', '21', '21')
omen:                   ('Ezekiel', '21', '21')
omen                    ('Ezekiel', '21', '23')
do-because              ('Ezekiel', '21', '24')
"'o                     ('Ezekiel', '21', '25')
rightfully              ('Ezekiel', '21', '27')
belongs;                ('Ezekiel', '21', '27')
insults:                ('Ezekiel', '21', '28')
climax.                 ('Ezekiel', '21', '29')
ancestry,               ('Ezekiel', '21', '30')
brutal                  ('Ezekiel', '21', '31')
spoken.'"               ('Ezekiel', '21', '32')
bloodshed?              ('Ezekiel', '22', '2')
close,                  ('Ezekiel', '22', '4')
infamous                ('Ezekiel', '22', '5')
"'see                   ('Ezekiel', '22', '6')
contempt;               ('Ezekiel', '22', '7')
extortion.              ('Ezekiel', '22', '12')
midst.                  ('Ezekiel', '22', '13')
wrath.'                 ('Ezekiel', '22', '24')
common;                 ('Ezekiel', '22', '26')
says'-when              ('Ezekiel', '22', '28')
robbery;                ('Ezekiel', '22', '29')
engaging                ('Ezekiel', '23', '3')
fondled                 ('Ezekiel', '23', '3')
bosoms                  ('Ezekiel', '23', '3')
caressed.               ('Ezekiel', '23', '3')
oholah,                 ('Ezekiel', '23', '4')
"oholah                 ('Ezekiel', '23', '5')
assyrians-warriors      ('Ezekiel', '23', '5')
elite                   ('Ezekiel', '23', '7')
after.                  ('Ezekiel', '23', '7')
lusted.                 ('Ezekiel', '23', '9')
"her                    ('Ezekiel', '23', '11')
assyrians-governors     ('Ezekiel', '23', '12')
dress,                  ('Ezekiel', '23', '12')
herself;                ('Ezekiel', '23', '13')
